time,t0,dt0,month,lon,lat,inversion_strength,inversion_height,low_level_stability,t_850hpa,rh_sub_850,surf_wind_velocity,wind_shear,dt_,temp_2m,down_long_hemisp,up_long_hemisp,lat_tower,lon_tower,rlns
2019-12-20 10:53:01.044000+00:00,-26.45697,2019-12-20 10:53:01.044000+00:00,12,112.59132826754,86.68018907894391,11.605591,1161.3842,10.703873,-15.690491,0.26288736,1.225808,4.505394,2019-12-20 10:53:01.044,-27.631762233333337,175.44418175882976,201.98649632425943,86.6767777261111,112.55992659972222,-26.542314565429677
2019-12-20 22:51:17.721000+00:00,-21.701431,2019-12-20 22:51:17.721000+00:00,12,112.47307144515744,86.68596474538151,6.5415497,1318.2278,6.469162,-15.232269,0.27809456,0.7154768,3.6448724,2019-12-20 22:51:17.721,-21.700002383333334,225.6525789915339,228.34184402174628,86.68265038138888,112.44104643472221,-2.689265030212397
2019-12-21 10:53:49.376000+00:00,-19.725677,2019-12-21 10:53:49.376000+00:00,12,112.40771627413888,86.68806144748947,3.5934143,1400.3047,3.4487915,-16.210022,0.21838355,1.1666751,2.0905528,2019-12-21 10:53:49.376,-19.460348733333337,233.29238815203348,235.88921526812237,86.68470593555557,112.37667424972221,-2.596827116088889
2019-12-21 22:53:31.650000+00:00,-27.327393,2019-12-21 22:53:31.650000+00:00,12,112.45751280424422,86.68251860431724,12.088837,1168.1992,11.621155,-15.706238,0.23484524,3.1309283,3.4911416,2019-12-21 22:53:31.650,-28.219344999999997,162.90144848623908,200.40521874045058,86.67917350583335,112.42635352694444,-37.5037702542115
2019-12-22 10:52:05.608000+00:00,-26.828644,2019-12-22 10:52:05.608000+00:00,12,112.63571508489825,86.67224739399981,12.057709,1204.7798,11.629974,-15.198669,0.2422251,2.7328758,7.23046,2019-12-22 10:52:05.608,-27.983186366666665,177.18461371711732,203.43029077217108,86.66897163888888,112.60415319111112,-26.24567705505376
2019-12-22 22:53:12.429000+00:00,-17.835197,2019-12-22 22:53:12.429000+00:00,12,112.88244213995087,86.65775674765443,3.9817429,351.18622,0.6715851,-17.007019,0.24905325,5.8091145,1.8623066,2019-12-22 22:53:12.429,-18.292468116666665,243.38250275910696,239.77960825990044,86.65442265444443,112.8509820572222,3.6028944992065135
2019-12-23 04:54:44.285000+00:00,-21.99089,2019-12-23 04:54:44.285000+00:00,12,113.00571457769315,86.64926921824927,7.2649384,933.57086,6.233139,-15.757751,0.25252572,4.5483046,2.3296223,2019-12-23 04:54:44.285,-22.135735433333334,236.14111630696613,227.8244580476888,86.6459383738889,112.97285526583335,8.316658259277318
2019-12-23 16:50:49.751000+00:00,-26.707382,2019-12-23 16:50:49.751000+00:00,12,113.26005994341826,86.63573376844731,12.852188,474.58835,10.361572,-16.325958,0.22632709,4.9980383,1.9941764,2019-12-23 16:50:49.751,-27.074509683333332,157.50758309581755,204.64683303264619,86.63239998194445,113.22958446694447,-47.139249936828634
2019-12-23 22:53:33.324000+00:00,-27.588959,2019-12-23 22:53:33.324000+00:00,12,113.44507213677099,86.63062492558824,13.9322815,772.3981,10.945923,-16.643036,0.24952704,7.1200876,2.3057928,2019-12-23 22:53:33.324,-27.859199699999998,158.19523232334137,201.70328172611238,86.62730380305555,113.41292729361112,-43.50804940277101
2019-12-24 04:53:48.666000+00:00,-27.398445,2019-12-24 04:53:48.666000+00:00,12,113.64232634958293,86.62760530824973,12.167244,749.74506,10.962158,-16.650421,0.24172938,5.2451572,3.5195026,2019-12-24 04:53:48.666,-28.846703166666668,156.01001770612078,198.79257025067648,86.62432123805554,113.60925605583334,-42.7825525445557
2019-12-24 10:52:53.510000+00:00,-28.225166,2019-12-24 10:52:53.510000+00:00,12,113.89072851401988,86.6247679846934,12.507118,710.2522,10.21933,-17.856232,0.39493752,3.633289,6.605672,2019-12-24 10:52:53.510,-29.17052825,151.030774120547,196.11064419531505,86.62149350055554,113.85812261805556,-45.07987007476805
2019-12-24 22:51:04.420000+00:00,-25.587936,2019-12-24 22:51:04.420000+00:00,12,114.4313136234104,86.62195125469763,10.124893,508.77118,6.9031982,-18.677368,0.22738898,4.5822897,5.3426504,2019-12-24 22:51:04.420,-25.84137245,171.33478965353646,209.72298004446665,86.61876829527777,114.39865453111113,-38.38819039093019
2019-12-25 22:57:45.580000+00:00,-20.234772,2019-12-25 22:57:45.580000+00:00,12,115.39926025426166,86.63712657582023,0.7072449,1098.5438,-0.92759705,-21.162369,0.19512749,3.5222285,4.9490395,2019-12-25 22:57:45.580,-20.689521516666666,224.29461511631013,230.89131366214752,86.63408685722223,115.36921139027777,-6.596698545837398
2019-12-26 04:53:55.885000+00:00,-28.857407,2019-12-26 04:53:55.885000+00:00,12,115.62776020766808,86.6452114525682,7.916458,1184.5349,7.753937,-21.156128,0.2043499,5.6537313,4.963953,2019-12-26 04:53:55.885,-30.54394095,140.58525151578266,194.5387723281606,86.64205484861111,115.59269201111113,-53.953520812377946
2019-12-26 10:51:14.928000+00:00,-26.637207,2019-12-26 10:51:14.928000+00:00,12,115.86116761964611,86.65261523573236,4.123947,1341.8787,4.108734,-22.544067,0.20623244,5.9100347,0.9402361,2019-12-26 10:51:14.928,-27.2209519,168.9869727943166,203.97304521680198,86.64966586583333,115.82694139,-34.986072422485364
2019-12-27 04:53:32.395000+00:00,-26.734085,2019-12-27 04:53:32.395000+00:00,12,116.0046244687463,86.67582828635592,5.0285797,1191.4506,4.5382385,-22.195847,0.23663446,3.1739948,1.3848879,2019-12-27 04:53:32.395,-30.28038751666666,143.86813421642302,187.2430171805954,86.67268101194445,115.96809310333336,-43.37488296417237
2019-12-27 10:50:05.655000+00:00,-28.57219,2019-12-27 10:50:05.655000+00:00,12,115.96133379931905,86.67883139149058,5.7534027,1301.7921,6.7030487,-22.836792,0.23025782,1.9524422,1.3800099,2019-12-27 10:50:05.655,-34.55686561666666,139.4055519601822,177.3914290338516,86.67569439222223,115.9241088388889,-37.9858770736694
2019-12-27 16:55:00.795000+00:00,-30.997055,2019-12-27 16:55:00.795000+00:00,12,115.91995116750057,86.67931877942212,7.341919,1099.747,6.979126,-24.01793,0.21614014,2.3154535,-0.81526744,2019-12-27 16:55:00.795,-35.702230150000005,153.14681723278042,177.7182252628708,86.6760651983333,115.88181598861111,-24.571408030090367
2019-12-27 22:51:24.507000+00:00,-32.36641,2019-12-27 22:51:24.507000+00:00,12,115.8636676954545,86.67998693322217,8.310913,1081.6063,8.031296,-24.335114,0.19285631,1.8056177,-1.0143093,2019-12-27 22:51:24.507,-34.61036146666667,151.85965388556164,177.85958117712659,86.67678819805555,115.82851051472221,-25.999927291564944
2019-12-28 22:52:57.703000+00:00,-35.373154,2019-12-28 22:52:57.703000+00:00,12,115.64574996852436,86.66222413652999,11.065781,1001.4255,10.211746,-25.161407,0.23465928,3.0139318,1.3730307,2019-12-28 22:52:57.703,-37.19156421666666,137.05632655359904,170.4634956392924,86.65903249833335,115.60951292666667,-33.40716908569337
2019-12-29 22:50:42.601000+00:00,-27.741562,2019-12-29 22:50:42.601000+00:00,12,116.12065573132449,86.62313360981008,4.5614777,184.16948,4.1579742,-23.583588,0.27302825,7.931194,-3.7097316,2019-12-29 22:50:42.601,-27.898387366666675,166.3580533894984,201.15811423941295,86.61986984472222,116.08583142700002,-34.80006084991456
2019-12-30 04:54:09.364000+00:00,-25.565292,2019-12-30 04:54:09.364000+00:00,12,116.44098082478976,86.613263437392,3.347702,1731.5955,3.0838776,-22.688354,0.29615304,7.2840123,-0.673141,2019-12-30 04:54:09.364,-26.030481166666664,206.28212162212373,211.34454345104214,86.61011602194445,116.40423510361111,-5.062421828918417
2019-12-30 16:54:35.994000+00:00,-27.158768,2019-12-30 16:54:35.994000+00:00,12,117.20367830660233,86.58505499332172,6.3117676,1206.0815,6.1869507,-20.971817,0.25278836,6.9140573,-1.1465793,2019-12-30 16:54:35.994,-27.160879183333332,194.44396710989636,207.58484051108044,86.5820431988889,117.16435176422223,-13.14087340118408
2019-12-31 04:53:04.144000+00:00,-31.785675,2019-12-31 04:53:04.144000+00:00,12,117.75659553329804,86.57959126820484,10.114792,1486.9874,8.974808,-22.810867,0.2658362,3.3982913,1.8225577,2019-12-31 04:53:04.144,-32.78362156666667,136.75641670216876,185.30963677541098,86.57666794916665,117.71706879194444,-48.553220073242215
2019-12-31 10:47:12.488000+00:00,-34.19655,2019-12-31 10:47:12.488000+00:00,12,117.87727983555737,86.58804271102048,10.90535,865.31354,10.6107025,-23.585846,0.2186275,2.9160347,3.2024827,2019-12-31 10:47:12.488,-35.822109499999996,131.95329520118713,175.73579589637757,86.58546738999999,117.8394602986111,-43.782500695190436
2019-12-31 22:51:49.951000+00:00,-29.476517,2019-12-31 22:51:49.951000+00:00,12,118.06903311148288,86.63156096059296,11.465256,740.52356,9.738861,-20.183044,0.18856794,5.092057,7.0725155,2019-12-31 22:51:49.951,-30.409125416666672,142.31433273571014,192.1173528873825,86.62886277777778,118.02790024872225,-49.80302015167237
2020-01-01 05:44:27.397000+00:00,-29.366714,2020-01-01 05:44:27.397000+00:00,1,118.08910205545524,86.66912212001655,9.477844,594.4777,8.502563,-20.864151,0.16316131,8.8632765,4.810096,2020-01-01 05:44:27.397,-30.67450636666667,135.1561976292801,191.16205882526398,86.66624703750001,118.04736002305556,-56.0058611959839
2020-01-01 11:08:09.233000+00:00,-29.640549,2020-01-01 11:08:09.233000+00:00,1,117.9772060089884,86.70043710091312,8.51445,891.2745,8.306732,-21.333817,0.17613263,9.053037,4.168764,2020-01-01 11:08:09.233,-30.990590750000003,133.27527415536247,190.91413457253776,86.69820409416668,117.93079130999999,-57.638860417175295
2020-01-01 22:51:33.777000+00:00,-29.414673,2020-01-01 22:51:33.777000+00:00,1,117.3917563890065,86.75863785338382,7.810913,1121.697,7.524872,-21.889801,0.3020163,9.048196,7.0357466,2020-01-01 22:51:33.777,-29.82475791666667,146.78323323420207,196.12235615046183,86.75592708444445,117.34630101444444,-49.339122916259754
2020-01-02 04:55:15.614000+00:00,-27.696136,2020-01-02 04:55:15.614000+00:00,1,117.04299524620939,86.79097332813716,6.607971,1010.74805,6.048996,-21.88237,0.30686402,9.036047,4.19493,2020-01-02 04:55:15.614,-28.26761695,171.9787996138382,202.95261855396268,86.78880518583334,116.99244348083332,-30.973818940124488
2020-01-02 16:57:55.197000+00:00,-23.8292,2020-01-02 16:57:55.197000+00:00,1,116.255485881264,86.85005284344753,6.0392227,1672.0782,3.4696808,-20.464767,0.30799264,9.961093,1.5164957,2020-01-02 16:57:55.197,-24.132939799999996,209.67367090171814,218.74508628074645,86.8475014375,116.20672383527778,-9.07141537902831
2020-01-03 10:52:35.700000+00:00,-28.021347,2020-01-03 10:52:35.700000+00:00,1,115.70989295934653,86.91135745846076,10.1440735,650.61316,8.416901,-19.339996,0.25179514,5.269215,-0.15485096,2020-01-03 10:52:35.700,-28.855038499999996,160.23043829570767,197.75990913341522,86.9083924425,115.66834702916667,-37.52947083770755
2020-01-04 04:54:20.250000+00:00,-25.217743,2020-01-04 04:54:20.250000+00:00,1,115.4538061282978,86.98260521528529,8.569763,821.41534,7.197815,-17.657639,0.3088959,6.496579,6.7042055,2020-01-04 04:54:20.250,-25.650840449999997,192.13042450710296,211.00489518001555,86.97953463888888,115.41294355,-18.874470672912594
2020-01-04 22:49:24.713000+00:00,-25.514267,2020-01-04 22:49:24.713000+00:00,1,115.33994831098099,87.0403063172801,6.7436676,1154.3728,6.662201,-18.852066,0.20738125,5.384744,1.6623077,2020-01-04 22:49:24.713,-26.784184400000004,174.53685055769603,204.76001752150222,87.03746742927778,115.29701180305555,-30.223166963806193
2020-01-05 10:49:19.463000+00:00,-27.575874,2020-01-05 10:49:19.463000+00:00,1,115.3225920878296,87.06797651351344,8.453636,668.657,8.161697,-19.733932,0.22286078,3.545532,-1.9928916,2020-01-05 10:49:19.463,-29.413014849999996,152.04485370798744,193.75914235056558,87.06500522841667,115.27867499055557,-41.71428864257814
2020-01-05 16:51:13.957000+00:00,-28.784714,2020-01-05 16:51:13.957000+00:00,1,115.3393812995642,87.07996924625894,10.20845,735.11414,8.350662,-20.434052,0.2594036,2.182871,0.08655405,2020-01-05 16:51:13.957,-30.65165128333333,152.65575815661114,190.54775194506328,87.07699626969445,115.29717371916668,-37.89199378845214
2020-01-05 22:40:22.780000+00:00,-26.581459,2020-01-05 22:40:22.780000+00:00,1,115.34145580721139,87.08925254893828,8.408897,892.6811,5.8496246,-20.82933,0.23296113,2.7423515,1.6627913,2020-01-05 22:40:22.780,-27.8611991,181.70468379239398,203.58634722195944,87.0862898161389,115.29904413305556,-21.881663429565464
2020-01-06 04:54:01.717000+00:00,-26.265137,2020-01-06 04:54:01.717000+00:00,1,115.27668422185464,87.0972106895436,8.237534,763.0799,4.2122498,-21.219284,0.27709416,1.5367383,0.61673033,2020-01-06 04:54:01.717,-28.257622599999998,182.56207792719522,201.22867358515424,87.09414955880554,115.23326580333335,-18.66659565795902
2020-01-06 10:51:30.352000+00:00,-26.512627,2020-01-06 10:51:30.352000+00:00,1,115.1933647897189,87.1029061076985,8.787178,655.12506,4.5090637,-22.014069,0.26859865,2.6434717,0.2969916,2020-01-06 10:51:30.352,-27.061150783333336,200.198191863149,208.39758296300255,87.09984445977777,115.1488441902222,-8.199391099853557
